CODE,NAME
285A,キオクシアホールディングス(株)
9984,ソフトバンクグループ(株)
6857,(株)アドバンテスト
5803,(株)フジクラ
6920,レーザーテック(株)
6146,(株)ディスコ
1570,(NEXT FUNDS)日経平均レバレッジ上場投信
4062,イビデン(株)
5801,古河電気工業(株)
7974,任天堂(株)
6723,ルネサスエレクトロニクス(株)
8035,東京エレクトロン(株)
6701,ＮＥＣ
5016,ＪＸ金属(株)
9983,(株)ファーストリテイリング
7011,三菱重工業(株)
7203,トヨタ自動車(株)
3110,日東紡
4568,第一三共(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
5706,三井金属(株)
7751,キヤノン(株)
4004,(株)レゾナック・ホールディングス
6501,(株)日立製作所
8058,三菱商事(株)
6232,(株)ＡＣＳＬ
6758,ソニーグループ(株)
5802,住友電気工業(株)
6861,(株)キーエンス
6981,(株)村田製作所
7013,(株)ＩＨＩ
3103,ユニチカ(株)
8411,(株)みずほフィナンシャルグループ
8316,(株)三井住友フィナンシャルグループ
6098,(株)リクルートホールディングス
4307,(株)野村総合研究所
6954,ファナック(株)
8766,東京海上ホールディングス(株)
1605,(株)ＩＮＰＥＸ
6702,富士通(株)
4519,中外製薬(株)
6762,ＴＤＫ(株)
7012,川崎重工業(株)
4063,信越化学工業(株)
2371,(株)カカクコム
2267,(株)ヤクルト本社
8031,三井物産(株)
8729,ソニーフィナンシャルグループ(株)
6976,太陽誘電(株)
9501,東京電力ホールディングス(株)
