CODE,NAME
285A,キオクシアホールディングス(株)
6976,太陽誘電(株)
1570,(NEXT FUNDS)日経平均レバレッジ上場投信
5801,古河電気工業(株)
6981,(株)村田製作所
9984,ソフトバンクグループ(株)
5016,ＪＸ金属(株)
4062,イビデン(株)
8035,東京エレクトロン(株)
6920,レーザーテック(株)
6857,(株)アドバンテスト
6146,(株)ディスコ
5706,三井金属(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
8316,(株)三井住友フィナンシャルグループ
5802,住友電気工業(株)
6723,ルネサスエレクトロニクス(株)
6954,ファナック(株)
6758,ソニーグループ(株)
6752,パナソニック　ホールディングス(株)
7203,トヨタ自動車(株)
6762,ＴＤＫ(株)
6506,(株)安川電機
8411,(株)みずほフィナンシャルグループ
7974,任天堂(株)
4063,信越化学工業(株)
7011,三菱重工業(株)
9983,(株)ファーストリテイリング
6501,(株)日立製作所
4004,(株)レゾナック・ホールディングス
2802,味の素(株)
7735,(株)ＳＣＲＥＥＮホールディングス
2914,ＪＴ
200A,(NEXT FUNDS) 日経半導体株指数連動型上場投信
3086,Ｊ．フロント　リテイリング(株)
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
6861,(株)キーエンス
9501,東京電力ホールディングス(株)
3110,日東紡
6963,ローム(株)
9432,ＮＴＴ(株)
1357,(NEXT FUNDS) 日経ダブルインバース上場投信
3436,(株)ＳＵＭＣＯ
6098,(株)リクルートホールディングス
6526,(株)ソシオネクスト
8058,三菱商事(株)
485A,(株)パワーエックス
5332,ＴＯＴＯ(株)
7013,(株)ＩＨＩ
1321,(NEXT FUNDS)日経225連動型上場投信
